file_date,Country_Region,continent_name,total_confirmed,population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-02-05T00:00:00+01:00@Europe/Zurich,El Salvador,North America,56025,6486201,863.7567660946678,0.8637567660946678
2021-02-05T00:00:00+01:00@Europe/Zurich,Saint Lucia,North America,1556,183629,847.3607109988073,0.8473607109988074
2021-02-05T00:00:00+01:00@Europe/Zurich,Finland,Europe,46894,5540718,846.3524041468993,0.8463524041468993
2021-02-05T00:00:00+01:00@Europe/Zurich,India,Asia,10814304,1380004385,783.6427273381455,0.7836427273381454
2021-02-05T00:00:00+01:00@Europe/Zurich,Malaysia,Asia,234874,32365998,725.6813153112101,0.7256813153112102
2021-02-05T00:00:00+01:00@Europe/Zurich,Sao Tome and Principe,Africa,1346,219161,614.1603661235348,0.6141603661235348
2021-02-05T00:00:00+01:00@Europe/Zurich,Djibouti,Africa,5941,988002,601.314572237708,0.601314572237708
2021-02-05T00:00:00+01:00@Europe/Zurich,Barbados,North America,1656,287371,576.2585647125145,0.5762585647125145
2021-02-05T00:00:00+01:00@Europe/Zurich,Jamaica,North America,16513,2961161,557.6528935778906,0.5576528935778906
2021-02-05T00:00:00+01:00@Europe/Zurich,Trinidad and Tobago,North America,7607,1399491,543.5547638391387,0.5435547638391386
2021-02-05T00:00:00+01:00@Europe/Zurich,Gabon,Africa,11457,2225728,514.7529257842828,0.5147529257842828
2021-02-05T00:00:00+01:00@Europe/Zurich,Philippines,Asia,533587,109581085,486.93348856693655,0.4869334885669365
2021-02-05T00:00:00+01:00@Europe/Zurich,Venezuela,South America,129231,28435943,454.46356394792326,0.45446356394792325
2021-02-05T00:00:00+01:00@Europe/Zurich,Lesotho,Africa,9216,2142252,430.2014889004655,0.43020148890046556
2021-02-05T00:00:00+01:00@Europe/Zurich,Indonesia,Asia,1134854,273523621,414.90164390592065,0.41490164390592066
2021-02-05T00:00:00+01:00@Europe/Zurich,Equatorial Guinea,Africa,5578,1402985,397.58087221174856,0.39758087221174854
2021-02-05T00:00:00+01:00@Europe/Zurich,Mauritania,Africa,16777,4649660,360.8220816145697,0.3608220816145697
2021-02-05T00:00:00+01:00@Europe/Zurich,Comoros,Africa,3001,869595,345.1031802160776,0.3451031802160776
2021-02-05T00:00:00+01:00@Europe/Zurich,Zambia,Africa,60427,18383956,328.6942157607427,0.3286942157607427
2021-02-05T00:00:00+01:00@Europe/Zurich,Bangladesh,Asia,537465,164689383,326.35072778188743,0.32635072778188745
2021-02-05T00:00:00+01:00@Europe/Zurich,Japan,Asia,401858,126476458,317.73343937256686,0.3177334393725669
2021-02-05T00:00:00+01:00@Europe/Zurich,Sri Lanka,Asia,67850,21413250,316.859888153363,0.31685988815336297
2021-02-05T00:00:00+01:00@Europe/Zurich,Antigua and Barbuda,North America,277,97928,282.8608773792991,0.2828608773792991
2021-02-05T00:00:00+01:00@Europe/Zurich,Cuba,North America,31190,11326616,275.3690952355055,0.27536909523550546
2021-02-05T00:00:00+01:00@Europe/Zurich,Burma,Asia,141304,54409794,259.7032438681903,0.2597032438681903
2021-02-05T00:00:00+01:00@Europe/Zurich,Pakistan,Asia,553128,220892331,250.40615828351235,0.25040615828351237
2021-02-05T00:00:00+01:00@Europe/Zurich,Algeria,Africa,108629,43851043,247.72272805460977,0.2477227280546098
2021-02-05T00:00:00+01:00@Europe/Zurich,Uzbekistan,Asia,78989,33469199,236.00505049433661,0.2360050504943366
2021-02-05T00:00:00+01:00@Europe/Zurich,Zimbabwe,Africa,34331,14862927,230.98411234879916,0.23098411234879915
2021-02-05T00:00:00+01:00@Europe/Zurich,Ghana,Africa,70046,31072945,225.42440055166963,0.22542440055166962
2021-02-05T00:00:00+01:00@Europe/Zurich,Kenya,Africa,101534,53771300,188.82563746831488,0.1888256374683149
2021-02-05T00:00:00+01:00@Europe/Zurich,Gambia,Africa,4184,2416664,173.13122552411093,0.17313122552411092
2021-02-05T00:00:00+01:00@Europe/Zurich,Dominica,North America,121,71991,168.07656512619633,0.16807656512619631
2021-02-05T00:00:00+01:00@Europe/Zurich,Senegal,Africa,28106,16743930,167.85784460398486,0.16785784460398484
2021-02-05T00:00:00+01:00@Europe/Zurich,Egypt,Africa,168597,102334403,164.75104662505336,0.16475104662505335
2021-02-05T00:00:00+01:00@Europe/Zurich,"Korea, South",Asia,80524,51269183,157.06121160541994,0.15706121160541994
2021-02-05T00:00:00+01:00@Europe/Zurich,Congo (Brazzaville),Africa,8060,5518092,146.06498043164194,0.14606498043164196
2021-02-05T00:00:00+01:00@Europe/Zurich,Afghanistan,Asia,55265,38928341,141.96597794907314,0.14196597794907315
2021-02-05T00:00:00+01:00@Europe/Zurich,Guinea-Bissau,Africa,2752,1967998,139.83754048530537,0.13983754048530536
2021-02-05T00:00:00+01:00@Europe/Zurich,Tajikistan,Asia,13308,9537642,139.5313432817042,0.13953134328170422
2021-02-05T00:00:00+01:00@Europe/Zurich,Mozambique,Africa,43184,31255435,138.16477038313496,0.13816477038313496
2021-02-05T00:00:00+01:00@Europe/Zurich,Malawi,Africa,26360,19129955,137.79436491094725,0.13779436491094726
2021-02-05T00:00:00+01:00@Europe/Zurich,Grenada,North America,148,112519,131.53334103573619,0.1315333410357362
2021-02-05T00:00:00+01:00@Europe/Zurich,Rwanda,Africa,16186,12952209,124.96710020661341,0.1249671002066134
2021-02-05T00:00:00+01:00@Europe/Zurich,Ethiopia,Africa,140883,114963583,122.54576303523874,0.12254576303523873
2021-02-05T00:00:00+01:00@Europe/Zurich,Cameroon,Africa,30313,26545864,114.19104686138677,0.11419104686138676
2021-02-05T00:00:00+01:00@Europe/Zurich,Australia,Oceania,28848,25459700,113.30848360349886,0.11330848360349885
2021-02-05T00:00:00+01:00@Europe/Zurich,Bhutan,Asia,861,771612,111.58457877793504,0.11158457877793503
2021-02-05T00:00:00+01:00@Europe/Zurich,Guinea,Africa,14629,13132792,111.39291629685448,0.11139291629685448
2021-02-05T00:00:00+01:00@Europe/Zurich,Cote d'Ivoire,Africa,29295,26378275,111.05729999402918,0.11105729999402918
2021-02-05T00:00:00+01:00@Europe/Zurich,Central African Republic,Africa,4989,4829764,103.2969726885206,0.1032969726885206
2021-02-05T00:00:00+01:00@Europe/Zurich,Haiti,North America,11692,11402533,102.53862014694454,0.10253862014694454
2021-02-05T00:00:00+01:00@Europe/Zurich,Nicaragua,North America,6299,6624554,95.08564652050538,0.09508564652050537
2021-02-05T00:00:00+01:00@Europe/Zurich,Uganda,Africa,39789,45741000,86.98760411884305,0.08698760411884304
2021-02-05T00:00:00+01:00@Europe/Zurich,Syria,Asia,14338,17500657,81.92835274698544,0.08192835274698544
2021-02-05T00:00:00+01:00@Europe/Zurich,Saint Kitts and Nevis,North America,40,53192,75.19927808693036,0.07519927808693036
2021-02-05T00:00:00+01:00@Europe/Zurich,Madagascar,Africa,19065,27691019,68.849037299783,0.068849037299783
2021-02-05T00:00:00+01:00@Europe/Zurich,Sudan,Africa,29634,43849269,67.58151430072871,0.0675815143007287
2021-02-05T00:00:00+01:00@Europe/Zurich,Nigeria,Africa,137654,206139587,66.777081492843,0.066777081492843
2021-02-05T00:00:00+01:00@Europe/Zurich,Eritrea,Africa,2326,3546427,65.58713883015216,0.06558713883015214
2021-02-05T00:00:00+01:00@Europe/Zurich,Togo,Africa,5356,8278737,64.6958588006842,0.06469585880068421
2021-02-05T00:00:00+01:00@Europe/Zurich,Angola,Africa,20030,32866268,60.94394410707051,0.060943944107070505
2021-02-05T00:00:00+01:00@Europe/Zurich,Mongolia,Asia,1989,3278292,60.671837652045646,0.060671837652045646
2021-02-05T00:00:00+01:00@Europe/Zurich,Burkina Faso,Africa,11143,20903278,53.307428624352596,0.0533074286243526
2021-02-05T00:00:00+01:00@Europe/Zurich,New Zealand,Oceania,2315,4822233,48.006805146080666,0.04800680514608066
2021-02-05T00:00:00+01:00@Europe/Zurich,Sierra Leone,Africa,3759,7976985,47.12306717387584,0.04712306717387584
