file_date,continent_name,total_deaths,total_population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-01-05T00:00:00+01:00@Europe/Zurich,Asia,343301,4563925207,462.02363193109176,0.46202363193109175
2021-01-05T00:00:00+01:00@Europe/Zurich,Africa,68751,1338826591,215.24184083075178,0.21524184083075176
2021-01-05T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.21220845819383,0.07421220845819382
2021-01-04T00:00:00+01:00@Europe/Zurich,North America,517310,585100234,4095.0605738434897,4.09506057384349
2021-01-04T00:00:00+01:00@Europe/Zurich,Europe,559294,750312325,3271.703553583503,3.2717035535835026
2021-01-04T00:00:00+01:00@Europe/Zurich,South America,366111,430457607,3105.121568916774,3.1051215689167737
2021-01-04T00:00:00+01:00@Europe/Zurich,Asia,342075,4563925207,460.21637181487665,0.4602163718148766
2021-01-04T00:00:00+01:00@Europe/Zurich,Africa,67931,1338826591,213.2365774022784,0.21323657740227842
2021-01-04T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.1582734629482,0.0741582734629482
2021-01-03T00:00:00+01:00@Europe/Zurich,North America,514412,585100234,4059.3244746506116,4.059324474650611
2021-01-03T00:00:00+01:00@Europe/Zurich,Europe,554966,750312325,3244.5463294235506,3.2445463294235504
2021-01-03T00:00:00+01:00@Europe/Zurich,South America,365082,430457607,3094.55002847702,3.09455002847702
2021-01-03T00:00:00+01:00@Europe/Zurich,Asia,340970,4563925207,458.6069896127463,0.4586069896127463
2021-01-03T00:00:00+01:00@Europe/Zurich,Africa,67246,1338826591,211.60888340915838,0.2116088834091584
2021-01-03T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.10902846728914,0.07410902846728915
2021-01-02T00:00:00+01:00@Europe/Zurich,North America,512523,585100234,4019.3068868265054,4.019306886826506
2021-01-02T00:00:00+01:00@Europe/Zurich,Europe,552052,750312325,3222.1500559783553,3.2221500559783554
2021-01-02T00:00:00+01:00@Europe/Zurich,South America,364313,430457607,3085.326820580499,3.085326820580499
2021-01-02T00:00:00+01:00@Europe/Zurich,Asia,339909,4563925207,457.08349838871493,0.4570834983887149
2021-01-02T00:00:00+01:00@Europe/Zurich,Africa,66641,1338826591,209.966400346167,0.209966400346167
2021-01-02T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.01288347576431,0.07401288347576432
2021-01-01T00:00:00+01:00@Europe/Zurich,North America,509680,585100234,3965.568060258202,3.9655680602582017
2021-01-01T00:00:00+01:00@Europe/Zurich,Europe,549256,750312325,3200.8934412746057,3.2008934412746055
2021-01-01T00:00:00+01:00@Europe/Zurich,South America,363563,430457607,3076.1976986040345,3.0761976986040347
2021-01-01T00:00:00+01:00@Europe/Zurich,Asia,338561,4563925207,455.1144258048311,0.4551144258048311
2021-01-01T00:00:00+01:00@Europe/Zurich,Africa,66126,1338826591,208.2545281624153,0.20825452816241533
2021-01-01T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,73.91204848465293,0.07391204848465292
